"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"5 years"	"5"	"Female"	"F"	"2020 "	"2020"	63	344470	18.3
	"5 years"	"5"	"Male"	"M"	"2001"	"2001"	93	321674	28.9
	"5 years"	"5"	"Male"	"M"	"2002"	"2002"	83	316960	26.2
	"5 years"	"5"	"Male"	"M"	"2003"	"2003"	79	317747	24.9
	"5 years"	"5"	"Male"	"M"	"2004"	"2004"	80	315143	25.4
	"5 years"	"5"	"Male"	"M"	"2005"	"2005"	83	319201	26.0
	"5 years"	"5"	"Male"	"M"	"2006"	"2006"	108	330665	32.7
	"5 years"	"5"	"Male"	"M"	"2007"	"2007"	81	323042	25.1
	"5 years"	"5"	"Male"	"M"	"2008"	"2008"	68	321522	21.1
	"5 years"	"5"	"Male"	"M"	"2009"	"2009"	77	328237	23.5
	"5 years"	"5"	"Male"	"M"	"2010"	"2010"	66	334163	19.8
	"5 years"	"5"	"Male"	"M"	"2011"	"2011"	81	342177	23.7
	"5 years"	"5"	"Male"	"M"	"2012"	"2012"	79	354174	22.3
	"5 years"	"5"	"Male"	"M"	"2013"	"2013"	75	355210	21.1
	"5 years"	"5"	"Male"	"M"	"2014"	"2014"	76	346417	21.9
	"5 years"	"5"	"Male"	"M"	"2015"	"2015"	90	345747	26.0
	"5 years"	"5"	"Male"	"M"	"2016"	"2016"	68	347195	19.6
	"5 years"	"5"	"Male"	"M"	"2017"	"2017"	67	346510	19.3
	"5 years"	"5"	"Male"	"M"	"2018"	"2018"	76	347615	21.9
	"5 years"	"5"	"Male"	"M"	"2019"	"2019"	83	347706	23.9
	"5 years"	"5"	"Male"	"M"	"2020 "	"2020"	80	356160	22.5
	"6 years"	"6"	"Female"	"F"	"2001"	"2001"	57	323838	17.6
	"6 years"	"6"	"Female"	"F"	"2002"	"2002"	58	312818	18.5
	"6 years"	"6"	"Female"	"F"	"2003"	"2003"	62	307943	20.1
	"6 years"	"6"	"Female"	"F"	"2004"	"2004"	57	308498	18.5
	"6 years"	"6"	"Female"	"F"	"2005"	"2005"	58	307053	18.9
	"6 years"	"6"	"Female"	"F"	"2006"	"2006"	63	311335	20.2
	"6 years"	"6"	"Female"	"F"	"2007"	"2007"	53	323342	16.4
	"6 years"	"6"	"Female"	"F"	"2008"	"2008"	55	315908	17.4
	"6 years"	"6"	"Female"	"F"	"2009"	"2009"	51	313534	16.3
	"6 years"	"6"	"Female"	"F"	"2010"	"2010"	49	320069	15.3
	"6 years"	"6"	"Female"	"F"	"2011"	"2011"	52	325091	16.0
	"6 years"	"6"	"Female"	"F"	"2012"	"2012"	39	333031	11.7
	"6 years"	"6"	"Female"	"F"	"2013"	"2013"	54	341993	15.8
	"6 years"	"6"	"Female"	"F"	"2014"	"2014"	54	346317	15.6
	"6 years"	"6"	"Female"	"F"	"2015"	"2015"	50	336998	14.8
	"6 years"	"6"	"Female"	"F"	"2016"	"2016"	56	335137	16.7
	"6 years"	"6"	"Female"	"F"	"2017"	"2017"	57	335739	17.0
	"6 years"	"6"	"Female"	"F"	"2018"	"2018"	65	335326	19.4
	"6 years"	"6"	"Female"	"F"	"2019"	"2019"	64	334650	19.1
	"6 years"	"6"	"Female"	"F"	"2020 "	"2020"	38	343837	11.1
	"6 years"	"6"	"Male"	"M"	"2001"	"2001"	80	335019	23.9
	"6 years"	"6"	"Male"	"M"	"2002"	"2002"	65	322716	20.1
	"6 years"	"6"	"Male"	"M"	"2003"	"2003"	66	318215	20.7
	"6 years"	"6"	"Male"	"M"	"2004"	"2004"	75	319224	23.5
	"6 years"	"6"	"Male"	"M"	"2005"	"2005"	79	316998	24.9
	"6 years"	"6"	"Male"	"M"	"2006"	"2006"	64	321378	19.9
	"6 years"	"6"	"Male"	"M"	"2007"	"2007"	73	333084	21.9
	"6 years"	"6"	"Male"	"M"	"2008"	"2008"	67	325441	20.6
	"6 years"	"6"	"Male"	"M"	"2009"	"2009"	73	324524	22.5
	"6 years"	"6"	"Male"	"M"	"2010"	"2010"	44	330857	13.3
	"6 years"	"6"	"Male"	"M"	"2011"	"2011"	57	336967	16.9
	"6 years"	"6"	"Male"	"M"	"2012"	"2012"	54	343526	15.7
	"6 years"	"6"	"Male"	"M"	"2013"	"2013"	52	355009	14.6
	"6 years"	"6"	"Male"	"M"	"2014"	"2014"	65	356548	18.2
	"6 years"	"6"	"Male"	"M"	"2015"	"2015"	72	347503	20.7
	"6 years"	"6"	"Male"	"M"	"2016"	"2016"	71	346725	20.5
	"6 years"	"6"	"Male"	"M"	"2017"	"2017"	68	347943	19.5
	"6 years"	"6"	"Male"	"M"	"2018"	"2018"	59	347823	17.0
	"6 years"	"6"	"Male"	"M"	"2019"	"2019"	79	345748	22.8
	"6 years"	"6"	"Male"	"M"	"2020 "	"2020"	84	355334	23.6
	"7 years"	"7"	"Female"	"F"	"2001"	"2001"	57	334391	17.0
	"7 years"	"7"	"Female"	"F"	"2002"	"2002"	57	325672	17.5
	"7 years"	"7"	"Female"	"F"	"2003"	"2003"	53	315051	16.8
	"7 years"	"7"	"Female"	"F"	"2004"	"2004"	65	310562	20.9
	"7 years"	"7"	"Female"	"F"	"2005"	"2005"	64	311762	20.5
	"7 years"	"7"	"Female"	"F"	"2006"	"2006"	46	310931	14.8
	"7 years"	"7"	"Female"	"F"	"2007"	"2007"	40	315774	12.7
	"7 years"	"7"	"Female"	"F"	"2008"	"2008"	37	328416	11.3
	"7 years"	"7"	"Female"	"F"	"2009"	"2009"	37	321332	11.5
	"7 years"	"7"	"Female"	"F"	"2010"	"2010"	41	318749	12.9
	"7 years"	"7"	"Female"	"F"	"2011"	"2011"	49	321965	15.2
	"7 years"	"7"	"Female"	"F"	"2012"	"2012"	46	326197	14.1
	"7 years"	"7"	"Female"	"F"	"2013"	"2013"	49	333852	14.7
	"7 years"	"7"	"Female"	"F"	"2014"	"2014"	34	343445	9.9
	"7 years"	"7"	"Female"	"F"	"2015"	"2015"	58	347402	16.7
	"7 years"	"7"	"Female"	"F"	"2016"	"2016"	59	338008	17.5
	"7 years"	"7"	"Female"	"F"	"2017"	"2017"	50	336349	14.9
	"7 years"	"7"	"Female"	"F"	"2018"	"2018"	56	336950	16.6
	"7 years"	"7"	"Female"	"F"	"2019"	"2019"	60	333732	18.0
	"7 years"	"7"	"Female"	"F"	"2020 "	"2020"	52	341670	15.2
	"7 years"	"7"	"Male"	"M"	"2001"	"2001"	54	344463	15.7
	"7 years"	"7"	"Male"	"M"	"2002"	"2002"	62	336757	18.4
	"7 years"	"7"	"Male"	"M"	"2003"	"2003"	70	324810	21.6
	"7 years"	"7"	"Male"	"M"	"2004"	"2004"	61	320747	19.0
	"7 years"	"7"	"Male"	"M"	"2005"	"2005"	61	322405	18.9
	"7 years"	"7"	"Male"	"M"	"2006"	"2006"	67	320668	20.9
	"7 years"	"7"	"Male"	"M"	"2007"	"2007"	59	325667	18.1
	"7 years"	"7"	"Male"	"M"	"2008"	"2008"	85	338018	25.1
	"7 years"	"7"	"Male"	"M"	"2009"	"2009"	59	330683	17.8
	"7 years"	"7"	"Male"	"M"	"2010"	"2010"	55	329111	16.7
	"7 years"	"7"	"Male"	"M"	"2011"	"2011"	64	333067	19.2
	"7 years"	"7"	"Male"	"M"	"2012"	"2012"	79	338140	23.4
	"7 years"	"7"	"Male"	"M"	"2013"	"2013"	69	344211	20.0
	"7 years"	"7"	"Male"	"M"	"2014"	"2014"	58	356110	16.3
	"7 years"	"7"	"Male"	"M"	"2015"	"2015"	53	357485	14.8
	"7 years"	"7"	"Male"	"M"	"2016"	"2016"	62	348344	17.8
	"7 years"	"7"	"Male"	"M"	"2017"	"2017"	66	347426	19.0
	"7 years"	"7"	"Male"	"M"	"2018"	"2018"	72	349242	20.6
	"7 years"	"7"	"Male"	"M"	"2019"	"2019"	71	345998	20.5
	"7 years"	"7"	"Male"	"M"	"2020 "	"2020"	63	352949	17.8
	"8 years"	"8"	"Female"	"F"	"2001"	"2001"	50	344100	14.5
	"8 years"	"8"	"Female"	"F"	"2002"	"2002"	56	335779	16.7
	"8 years"	"8"	"Female"	"F"	"2003"	"2003"	53	327031	16.2
	"8 years"	"8"	"Female"	"F"	"2004"	"2004"	56	316384	17.7
	"8 years"	"8"	"Female"	"F"	"2005"	"2005"	53	312005	17.0
	"8 years"	"8"	"Female"	"F"	"2006"	"2006"	44	313274	14.0
	"8 years"	"8"	"Female"	"F"	"2007"	"2007"	48	312457	15.4
	"8 years"	"8"	"Female"	"F"	"2008"	"2008"	43	317284	13.6
	"8 years"	"8"	"Female"	"F"	"2009"	"2009"	40	330035	12.1
	"8 years"	"8"	"Female"	"F"	"2010"	"2010"	41	324501	12.6
	"8 years"	"8"	"Female"	"F"	"2011"	"2011"	41	318969	12.9
	"8 years"	"8"	"Female"	"F"	"2012"	"2012"	38	323181	11.8
	"8 years"	"8"	"Female"	"F"	"2013"	"2013"	43	327058	13.1
	"8 years"	"8"	"Female"	"F"	"2014"	"2014"	41	335442	12.2
	"8 years"	"8"	"Female"	"F"	"2015"	"2015"	44	344596	12.8
	"8 years"	"8"	"Female"	"F"	"2016"	"2016"	40	348467	11.5
	"8 years"	"8"	"Female"	"F"	"2017"	"2017"	48	339229	14.1
	"8 years"	"8"	"Female"	"F"	"2018"	"2018"	69	337594	20.4
	"8 years"	"8"	"Female"	"F"	"2019"	"2019"	51	335255	15.2
	"8 years"	"8"	"Female"	"F"	"2020 "	"2020"	55	340607	16.1
	"8 years"	"8"	"Male"	"M"	"2001"	"2001"	85	357114	23.8
	"8 years"	"8"	"Male"	"M"	"2002"	"2002"	93	346068	26.9
	"8 years"	"8"	"Male"	"M"	"2003"	"2003"	75	338554	22.2
	"8 years"	"8"	"Male"	"M"	"2004"	"2004"	77	326708	23.6
	"8 years"	"8"	"Male"	"M"	"2005"	"2005"	63	322943	19.5
	"8 years"	"8"	"Male"	"M"	"2006"	"2006"	63	324681	19.4
	"8 years"	"8"	"Male"	"M"	"2007"	"2007"	57	323192	17.6
