label,value,year,Pop
Background,0.0362821159637237,2015 - 2016,Ireland
Background,0.111647337511478,2016 - 2017,Ireland
Background,0.0995519722765545,2017 - 2018,Ireland
Background,-0.0845886969566297,2018 - 2019,Ireland
Background,0.0392482358920049,2019 - 2020,Ireland
Compression,0.0375732256747165,2009 - 2010,Ireland
Compression,-0.0508528266195023,2010 - 2011,Ireland
Compression,0.0966146606697355,2011 - 2012,Ireland
Compression,-0.00895660315824242,2012 - 2013,Ireland
Compression,-0.00194408287171577,2013 - 2014,Ireland
Compression,0.0687117682498801,2014 - 2015,Ireland
Compression,0.0103376427912891,2015 - 2016,Ireland
Compression,-0.0414456118819342,2016 - 2017,Ireland
Compression,-0.0758641499503228,2017 - 2018,Ireland
Compression,-0.0102879904020746,2018 - 2019,Ireland
Compression,0.0284550302791981,2019 - 2020,Ireland
Shift,0.564504577684813,2009 - 2010,Ireland
Shift,0.210240933631882,2010 - 2011,Ireland
Shift,-0.0341361472648454,2011 - 2012,Ireland
Shift,0.24953599602572,2012 - 2013,Ireland
Shift,0.401015378201309,2013 - 2014,Ireland
Shift,0.0405413947672746,2014 - 2015,Ireland
Shift,0.0701463651222912,2015 - 2016,Ireland
Shift,0.380065288208083,2016 - 2017,Ireland
Shift,0.00941101277369754,2017 - 2018,Ireland
Shift,0.267519512951636,2018 - 2019,Ireland
Shift,0.0362562582274326,2019 - 2020,Ireland
infant mortlaiy initial,0.00342787693390181,2009 - 2010,Japan
infant mortlaiy initial,0.00516071776682727,2010 - 2011,Japan
infant mortlaiy initial,0.000320464929216202,2011 - 2012,Japan
infant mortlaiy initial,0.000397158312355519,2012 - 2013,Japan
infant mortlaiy initial,0.00252902272953199,2013 - 2014,Japan
infant mortlaiy initial,0.00203875913092745,2014 - 2015,Japan
infant mortlaiy initial,0.00251160122862748,2015 - 2016,Japan
infant mortlaiy initial,0.00184136320203826,2016 - 2017,Japan
infant mortlaiy initial,-0.00169348860870355,2017 - 2018,Japan
infant mortlaiy initial,-0.000238227935655686,2018 - 2019,Japan
infant mortlaiy initial,0.00294264647974322,2019 - 2020,Japan
infant mortality decrease,0.00176361021177535,2009 - 2010,Japan
infant mortality decrease,0.000541042486875855,2010 - 2011,Japan
infant mortality decrease,0.0084823183132751,2011 - 2012,Japan
infant mortality decrease,-0.000990957166856781,2012 - 2013,Japan
infant mortality decrease,-0.0049540145663521,2013 - 2014,Japan
infant mortality decrease,-0.00295839877791392,2014 - 2015,Japan
infant mortality decrease,0.002307999398464,2015 - 2016,Japan
infant mortality decrease,-0.00179204213520508,2016 - 2017,Japan
infant mortality decrease,0.00996109218505847,2017 - 2018,Japan
infant mortality decrease,-0.00475244474535586,2018 - 2019,Japan
infant mortality decrease,0.00970392983542724,2019 - 2020,Japan
Background,-0.0632454232943906,2009 - 2010,Japan
Background,-0.146402007002523,2010 - 2011,Japan
Background,0.155820650871827,2011 - 2012,Japan
Background,0.0364293674865236,2012 - 2013,Japan
Background,-0.00117111623920521,2013 - 2014,Japan
Background,0.0409674529606855,2014 - 2015,Japan
Background,0.0146042810498848,2015 - 2016,Japan
Background,0.010476286534122,2016 - 2017,Japan
Background,0.0380874770689226,2017 - 2018,Japan
Background,0.0218984848554288,2018 - 2019,Japan
Background,-0.00676155070850073,2019 - 2020,Japan
Compression,0.0924335478764526,2009 - 2010,Japan
Compression,0.0288923130133692,2010 - 2011,Japan
Compression,0.0786532135999848,2011 - 2012,Japan
Compression,-0.000143517129695719,2012 - 2013,Japan
Compression,0.00699606034751023,2013 - 2014,Japan
Compression,0.0344251517662722,2014 - 2015,Japan
Compression,0.0248265173860573,2015 - 2016,Japan
Compression,0.0408265218099475,2016 - 2017,Japan
Compression,-0.0121284451250684,2017 - 2018,Japan
Compression,-0.0112724117903132,2018 - 2019,Japan
Compression,-0.060502121955281,2019 - 2020,Japan
Shift,-0.0513607057805851,2009 - 2010,Japan
Shift,-0.00689212430253191,2010 - 2011,Japan
Shift,0.265570267528857,2011 - 2012,Japan
Shift,0.235659384058231,2012 - 2013,Japan
Shift,0.263544074935877,2013 - 2014,Japan
Shift,0.203612810611968,2014 - 2015,Japan
Shift,0.159276965888185,2015 - 2016,Japan
Shift,0.0683220857350528,2016 - 2017,Japan
Shift,0.139148549847775,2017 - 2018,Japan
Shift,0.144991167766673,2018 - 2019,Japan
Shift,0.277702117408168,2019 - 2020,Japan
infant mortlaiy initial,-0.00735396340269154,2009 - 2010,New Zealand
infant mortlaiy initial,0.00684271898970874,2010 - 2011,New Zealand
infant mortlaiy initial,0.0104287502883518,2011 - 2012,New Zealand
infant mortlaiy initial,-0.004322805638882,2012 - 2013,New Zealand
infant mortlaiy initial,-0.0165563733423228,2013 - 2014,New Zealand
infant mortlaiy initial,0.0237171322862592,2014 - 2015,New Zealand
infant mortlaiy initial,0.00776002569996825,2015 - 2016,New Zealand
infant mortlaiy initial,-0.00469014259454629,2016 - 2017,New Zealand
infant mortlaiy initial,0.00407054129537557,2017 - 2018,New Zealand
infant mortlaiy initial,-0.012764678338168,2018 - 2019,New Zealand
infant mortlaiy initial,0.00400307742369738,2019 - 2020,New Zealand
infant mortlaiy initial,-0.0146163330177617,2020 - 2021,New Zealand
infant mortality decrease,0.023814915629681,2009 - 2010,New Zealand
infant mortality decrease,-0.0247394922165248,2010 - 2011,New Zealand
infant mortality decrease,0.0219051117347293,2011 - 2012,New Zealand
infant mortality decrease,-4.85396977986628e-09,2012 - 2013,New Zealand
infant mortality decrease,5.71676455422347e-09,2013 - 2014,New Zealand
infant mortality decrease,-2.6778751039837e-10,2014 - 2015,New Zealand
infant mortality decrease,-5.45361082401571e-10,2015 - 2016,New Zealand
infant mortality decrease,-0.0102715916436321,2016 - 2017,New Zealand
infant mortality decrease,0.0103342244059593,2017 - 2018,New Zealand
infant mortality decrease,-0.00109348631314035,2018 - 2019,New Zealand
infant mortality decrease,0.0012039030086961,2019 - 2020,New Zealand
infant mortality decrease,2.15205556512019e-10,2020 - 2021,New Zealand
Background,0.198967715119867,2009 - 2010,New Zealand
Background,-0.103564426533512,2010 - 2011,New Zealand
Background,0.012889438900282,2011 - 2012,New Zealand
Background,0.288707025232674,2012 - 2013,New Zealand
Background,-0.0938439121214999,2013 - 2014,New Zealand
Background,0.00865515934389315,2014 - 2015,New Zealand
Background,0.0218884402695715,2015 - 2016,New Zealand
Background,-0.16514198922603,2016 - 2017,New Zealand
Background,0.0790290110005071,2017 - 2018,New Zealand
Background,-0.134151965530657,2018 - 2019,New Zealand
Background,0.316787326392131,2019 - 2020,New Zealand
Background,-0.065626104875158,2020 - 2021,New Zealand
Compression,-0.0254369072238445,2009 - 2010,New Zealand
Compression,0.0825855880168652,2010 - 2011,New Zealand
Compression,0.0302186950003497,2011 - 2012,New Zealand
Compression,-0.0863816621010273,2012 - 2013,New Zealand
Compression,0.115453350233324,2013 - 2014,New Zealand
Compression,-0.0121151857783534,2014 - 2015,New Zealand
Compression,-0.0797137839714461,2015 - 2016,New Zealand
Compression,0.0705621387957126,2016 - 2017,New Zealand
